time,sub,run,FS-left-amygdala,FS-right-amygdala
75,pixar130,run-01,0.024905706,0.033261657
76,pixar130,run-01,-0.4190288,0.053361047
77,pixar130,run-01,-0.17890474,-0.090600066
78,pixar130,run-01,-0.18794079,0.3963255
79,pixar130,run-01,0.23277815,0.2935696
80,pixar130,run-01,-0.17407629,-0.1742736
81,pixar130,run-01,-0.23963504,-0.19712771
82,pixar130,run-01,-0.24099623,0.10500455
83,pixar130,run-01,0.040004123,0.1032465
84,pixar130,run-01,0.11148586,0.20122834
85,pixar130,run-01,0.33654216,0.08550799
86,pixar130,run-01,0.39623022,-0.23097362
87,pixar130,run-01,0.25850025,-0.100681484
88,pixar130,run-01,-0.05960995,-0.0057592057
89,pixar130,run-01,0.38868538,0.25475192
90,pixar130,run-01,-0.0013958727,-0.037113708
91,pixar130,run-01,0.2876843,-0.28627446
92,pixar130,run-01,0.09778211,-0.22330685
93,pixar130,run-01,-0.22971578,-0.14155604
94,pixar130,run-01,-0.1937031,0.19979693
95,pixar130,run-01,0.27938437,0.22848463
96,pixar130,run-01,0.35951096,0.35126674
97,pixar130,run-01,0.38287747,0.25046647
98,pixar130,run-01,0.064861104,0.17147069
99,pixar130,run-01,-0.5741489,-0.3119505
100,pixar130,run-01,-0.08237227,-0.107157014
101,pixar130,run-01,0.5872119,0.29931232
102,pixar130,run-01,0.62790614,0.032036353
103,pixar130,run-01,0.15391791,-0.08205631
104,pixar130,run-01,0.28521386,0.33179113
105,pixar130,run-01,0.30211335,0.2983789
106,pixar130,run-01,0.2870775,0.11435846
107,pixar130,run-01,0.34787673,0.3158558
108,pixar130,run-01,-0.18312281,-0.12927046
109,pixar130,run-01,-0.33381942,-0.29413298
110,pixar130,run-01,0.048619147,0.057293117
111,pixar130,run-01,0.23242608,0.33240953
112,pixar130,run-01,0.58481675,0.30565497
113,pixar130,run-01,0.16515754,0.20476633
114,pixar130,run-01,0.13950531,0.24502976
115,pixar130,run-01,0.22772059,0.17123745
116,pixar130,run-01,0.2660276,0.025455544
117,pixar130,run-01,0.3714196,0.13020127
118,pixar130,run-01,0.65162015,0.14535703
119,pixar130,run-01,0.7210412,0.2956263
120,pixar130,run-01,0.4376979,-0.08787898
121,pixar130,run-01,,
122,pixar130,run-01,0.27274418,-0.14239424
123,pixar130,run-01,-0.15331188,0.03404014
124,pixar130,run-01,0.6771489,0.53102845
125,pixar130,run-01,0.44300205,0.41198406
126,pixar130,run-01,0.5635025,0.45399988
127,pixar130,run-01,0.55535674,-0.1892277
128,pixar130,run-01,-0.17049861,-0.0067585506
129,pixar130,run-01,-0.24455778,0.06425785
130,pixar130,run-01,-0.008308713,0.12407813
131,pixar130,run-01,0.32302797,0.32756847
132,pixar130,run-01,0.1937217,0.24229495
133,pixar130,run-01,0.40262383,0.42317224
134,pixar130,run-01,0.28591058,0.27573535
135,pixar130,run-01,0.45895353,0.40135297
136,pixar130,run-01,0.042770945,0.33279634
137,pixar130,run-01,0.2104262,0.3256589
138,pixar130,run-01,-0.16978435,-0.0059432858
139,pixar130,run-01,0.045385256,0.020424867
140,pixar130,run-01,0.35603267,-0.06937295
141,pixar130,run-01,0.5007314,-0.15857379
142,pixar130,run-01,0.58032227,0.6617939
143,pixar130,run-01,0.7457113,0.052261073
144,pixar130,run-01,0.1131652,0.11010659
145,pixar130,run-01,-0.12674528,-0.32053486
146,pixar130,run-01,-0.4724671,-0.48705053
147,pixar130,run-01,-0.67749274,-0.34492078
148,pixar130,run-01,-0.20114474,-0.16978228
149,pixar130,run-01,0.1278847,-0.10032938
150,pixar130,run-01,0.1358433,-0.03612705
151,pixar130,run-01,-0.08512187,-0.40175
152,pixar130,run-01,-0.7143634,-0.34128055
153,pixar130,run-01,-0.21834071,-0.23966669
154,pixar130,run-01,-0.5766362,-0.10387239
155,pixar130,run-01,0.0662814,-0.2960156
156,pixar130,run-01,0.27086776,0.0033757177
157,pixar130,run-01,0.15238172,0.20866771
158,pixar130,run-01,-0.048461452,-0.07172773
159,pixar130,run-01,-0.10569515,-0.016003383
160,pixar130,run-01,-0.06985614,0.004823825
161,pixar130,run-01,-0.62489057,-0.031063467
162,pixar130,run-01,-0.24838693,-0.017953416
163,pixar130,run-01,-0.006866858,-0.3656273
164,pixar130,run-01,-0.5255209,-0.2671554
165,pixar130,run-01,-0.29342747,-0.26256457
166,pixar130,run-01,-0.23063798,-0.24378474
167,pixar130,run-01,-0.45724118,-0.1511674
0,pixar131,run-01,0.15705761,-0.31144613
1,pixar131,run-01,0.19146746,-0.06319846
2,pixar131,run-01,0.24067461,-0.15178892
3,pixar131,run-01,0.22623067,-0.5099217
4,pixar131,run-01,0.18311559,-0.009733453
5,pixar131,run-01,0.1805161,-0.32893202
